,altitude,delta,delta_lat,delta_long,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_lat_deg,position_long,position_long_deg,speed,timestamp,unknown_88
439,-148.39999999999998,1.8533100428576001,-0.09320251083011073,1.8509649934376942,731.19,-148.39999999999998,2.669,139,340123603.0,28.50883106701076,-193075221.0,-16.183378072455525,2.669,2017-02-24 14:34:32,300
440,-140.2,1.46530520732017,0.45669230306754266,1.3923187461635609,732.65,-140.2,2.594,140,340123652.0,28.508835174143314,-193075051.0,-16.183363823220134,2.594,2017-02-24 14:34:33,300
441,-127.0,4.992856712142556,-3.830623195117551,-3.2023341619847194,732.65,-127.0,2.053,140,340123241.0,28.50880072452128,-193075442.0,-16.183396596461535,2.053,2017-02-24 14:34:34,300
442,-129.39999999999998,1.384129087916669,0.0,1.384129087916669,733.98,-129.39999999999998,2.118,140,340123241.0,28.50880072452128,-193075273.0,-16.183382431045175,2.118,2017-02-24 14:34:35,300
443,-121.80000000000001,0.9379789922607608,0.4100910476524873,0.843581603970711,734.93,-121.80000000000001,1.903,140,340123285.0,28.508804412558675,-193075170.0,-16.183373797684908,1.903,2017-02-24 14:34:36,300
444,-126.80000000000001,1.3233765622827247,0.9040643550520742,0.9664332193812046,736.24,-126.80000000000001,2.174,140,340123382.0,28.50881254300475,-193075052.0,-16.183363907039165,2.174,2017-02-24 14:34:37,300
445,-120.39999999999998,1.2389113331587147,0.9506656104671295,0.7944408023913825,737.45,-120.39999999999998,2.071,140,340123484.0,28.508821092545986,-193074955.0,-16.18335577659309,2.071,2017-02-24 14:34:38,300
446,-117.19999999999999,3.0656831179525645,-2.786755073820311,-1.2776576764674137,737.45,-117.19999999999999,1.726,140,340123185.0,28.508796030655503,-193075111.0,-16.183368852362037,1.726,2017-02-24 14:34:39,300
447,-119.0,1.6188961390009757,1.3048351516215502,0.9582431507529979,739.02,-119.0,1.969,139,340123325.0,28.508807765319943,-193074994.0,-16.183359045535326,1.969,2017-02-24 14:34:40,300
448,-116.39999999999998,1.3595274590319402,1.1091098788783178,0.7862507160164417,740.32,-116.39999999999998,1.866,138,340123444.0,28.508817739784718,-193074898.0,-16.18335099890828,1.866,2017-02-24 14:34:41,300
